case_id,query,expected_behavior,interpretation_passed,behavior_passed,candidate_count,result_count,hard_filter_passed,hard_filter_checks,hard_filter_accuracy,valid_title_count,valid_title_rate,unique_name_count,duplicate_free_rate,concept_relevant_count,concept_evaluated_count,concept_relevance_at_5,latency_seconds,expected_filters,extracted_filters,expected_concepts,requested_concepts,notes
cooperative_survival,a cooperative survival game under $20 with at least 80% positive reviews,results,True,True,163,5,15,15,1.0,5,1.0,5,1.0,5,5,1.0,5.508590599987656,"{""maximum_price"": 20.0, ""minimum_review_percentage"": 80.0, ""play_mode"": ""co-op""}","{""maximum_price"": 20.0, ""minimum_review_percentage"": 80.0, ""play_mode"": ""co-op""}",survival,survival,passed
relaxing_single_player,a relaxing single-player casual game under $15,results,True,True,872,5,10,10,1.0,5,1.0,5,1.0,5,5,1.0,0.17254060006234795,"{""maximum_price"": 15.0, ""play_mode"": ""single-player""}","{""maximum_price"": 15.0, ""play_mode"": ""single-player""}","relaxing, casual","relaxing, casual",passed
free_psychological_horror,a free psychological horror game,results,True,True,249,5,5,5,1.0,5,1.0,5,1.0,5,5,1.0,0.10873239999637008,"{""is_free"": true}","{""is_free"": true}","psychological horror, horror","psychological horror, horror",passed
linux_tactical_strategy,a turn-based tactical strategy game under $20 for Linux,results,True,True,282,5,10,10,1.0,5,1.0,5,1.0,5,5,1.0,0.13130360003560781,"{""maximum_price"": 20.0, ""platform"": ""Linux""}","{""maximum_price"": 20.0, ""platform"": ""Linux""}","turn-based, tactical, strategy","turn-based, tactical, strategy",passed
recent_coop_adventure,a co-op adventure game under $25 released after 2020,results,True,True,105,5,15,15,1.0,5,1.0,5,1.0,5,5,1.0,0.0845409999601543,"{""maximum_price"": 25.0, ""release_year_after"": 2020, ""play_mode"": ""co-op""}","{""maximum_price"": 25.0, ""release_year_after"": 2020, ""play_mode"": ""co-op""}",adventure,adventure,passed
story_rich_rpg,a story-rich RPG with at least 90% positive reviews,results,True,True,466,5,5,5,1.0,5,1.0,5,1.0,5,5,1.0,0.14647919998969883,"{""minimum_review_percentage"": 90.0}","{""minimum_review_percentage"": 90.0}","story rich, rpg","story rich, rpg",passed
windows_racing,a racing game for Windows under $15,results,True,True,1038,5,10,10,1.0,5,1.0,5,1.0,5,5,1.0,0.19115949992556125,"{""maximum_price"": 15.0, ""platform"": ""Windows""}","{""maximum_price"": 15.0, ""platform"": ""Windows""}",racing,racing,passed
mac_farming,a farming simulation game for Mac,results,True,True,491,5,5,5,1.0,5,1.0,5,1.0,5,5,1.0,0.150294000050053,"{""platform"": ""Mac""}","{""platform"": ""Mac""}","farming, simulation","farming, simulation",passed
recent_multiplayer_shooter,a multiplayer shooter released after 2022,results,True,True,92,5,10,10,1.0,5,1.0,5,1.0,5,5,1.0,0.09639979992061853,"{""release_year_after"": 2022, ""play_mode"": ""multiplayer""}","{""release_year_after"": 2022, ""play_mode"": ""multiplayer""}",shooter,shooter,passed
broad_price_only,a game under $20,clarification,True,True,1245,0,0,0,1.0,0,1.0,0,1.0,0,0,,0.00411600002553314,"{""maximum_price"": 20.0}","{""maximum_price"": 20.0}",,,passed
impossible_conditions,a free co-op game for Mac with at least 99% positive reviews released after 2025,no_results,True,True,0,0,0,0,1.0,0,1.0,0,1.0,0,0,,0.0060409000143408775,"{""minimum_review_percentage"": 99.0, ""release_year_after"": 2025, ""is_free"": true, ""platform"": ""Mac"", ""play_mode"": ""co-op""}","{""minimum_review_percentage"": 99.0, ""release_year_after"": 2025, ""is_free"": true, ""platform"": ""Mac"", ""play_mode"": ""co-op""}",,,passed
zh_coop_survival,我想找一款 20 美元以下、至少 80% 好評、可以合作的生存遊戲,results,True,True,163,5,15,15,1.0,5,1.0,5,1.0,5,5,1.0,0.10824359999969602,"{""maximum_price"": 20.0, ""minimum_review_percentage"": 80.0, ""play_mode"": ""co-op""}","{""maximum_price"": 20.0, ""minimum_review_percentage"": 80.0, ""play_mode"": ""co-op""}",survival,survival,passed
zh_mac_farming_sim,找一款支援 Mac 的農場模擬遊戲,results,True,True,491,5,5,5,1.0,5,1.0,5,1.0,5,5,1.0,0.13950970000587404,"{""platform"": ""Mac""}","{""platform"": ""Mac""}","farming, simulation","farming, simulation",passed
zh_broad_price_only,推薦 20 美元以下的遊戲,clarification,True,True,1245,0,0,0,1.0,0,1.0,0,1.0,0,0,,0.00407450005877763,"{""maximum_price"": 20.0}","{""maximum_price"": 20.0}",,,passed
